Call Sign,POPs
WNC761,141725
WNC762,46483
WNC763,141725
WNC764,141725
WNC765,50173
WNC767,22423
WNC769,146795
WNC770,37871
WNC771,298484
WNC772,81732
WNC773,81732
WNC774,43826
WNC778,419992
WNC779,250501
WNC780,77083
WNC781,75435
WNC782,75533
WNC783,72619
WNC784,77083
WHR678,54455
WNC786,953207
WNC787,474197
WNC788,635844
WNC789,497417
WNC758,52401
WNC794,86242
WNC796,37871
WNC797,43826
WNC798,43826
WNC801,144188
WNC802,40892
WNC803,551687
WNC804,4119200
WNC807,141194
WNC809,109333
WNC810,109333
WNC811,259782
WNC812,86242
WNC813,86242
WNC814,86242
WNC815,204590
WNC816,204590
WNC817,188499
WNC818,188499
WNC820,28311
WNC821,121801
WNC821,121801
WNC822,121801
WNC823,2441458
WNC824,2715295
WNC825,34656
WNC826,51960
WNC827,28311
WNC828,46091
WNC829,221508
WNC581,49596
WNC831,257648
WNC832,221508
WNC833,403883
WNC834,403820
WNC835,403877
WNC836,3465025
WNC837,29472
WNC840,759041
WNC842,43811
WNC843,267345
WNC844,271866
WNC845,5203364
WNC846,391650
WNC847,391650
WNC848,391650
WNC849,391650
WNC850,391650
WNC851,1967973
WNC852,133959
WNC853,190777
WNC854,415537
WNC855,174787
WNC856,389438
WNC859,1408952
WNC860,1234537
WNC863,496941
WNC864,242027
WNC865,285019
WNC866,126473
WNC867,261275
WNC868,254847
WNC873,592860
WNC874,566704
WNC875,592860
WNC876,285019
WNC878,24615
WNC879,24615
WNC883,408528
WNC884,283204
WNC885,280192
WNC886,170376
WNC887,170376
WNC888,170376
WNC889,170376
WNC890,170376
WNC891,684380
WNC892,60670
WNC893,133013
WNC894,104495
WNC895,43640
WNC899,31330
WNC900,36525
WNC902,172869
WNC903,168963
WNC904,169348
WNC905,169453
WNC906,180895
WNC908,181059
WNC909,181059
WNC910,181059
WNC911,181059
WND488,46859
WNC914,123833
WNC915,720861
WNC916,345464
WNC919,758060
WNC926,1210657
WNC929,350103
WNC935,190534
WNC936,350628
WNC938,307588
WNC939,1210657
WNC940,1210657
WNC943,26986
WNC944,117686
WNC945,121362
WNC951,56755
WNC952,52349
WNC953,52349
WNC956,35604
WNC959,49887
WNC960,49887
WNC964,319135
WNC965,367603
WMX708,46085
WMX707,45819
WNC975,294499
WNC976,294499
WNC978,1210555
WNC979,365022
WNC980,429528
WNC983,544353
WNC984,507681
WNC986,245947
WNC987,204590
WNC988,1577807
WNC989,607100
WNC990,2037373
WNC992,359629
WND204,422516
WND205,464335
WND206,298044
WNC598,89208
WND208,714623
WND209,714623
WND210,58834
WND211,839944
WND215,226492
WND216,226492
WND218,435721
WMX689,42614
WQCP981,40851
WND221,217028
WND222,231054
WND223,550355
WND224,554059
WND225,544769
WND226,541152
WND227,554059
WMX690,40799
WND229,58694
WND230,113848
WMX665,40292
WMX666,40292
WND233,209392
WND234,1025300
WND235,881212
WND236,474360
WND238,123849
WND240,548130
WND242,3421637
WND243,280165
WND244,436717
WND245,678321
WND247,271178
WND248,39919
WQCN537,39617
WND252,395990
WND253,745566
WND255,1846606
WND256,1120094
WND257,1185483
WND258,1753003
WND259,1062459
WND260,503053
WND261,1343706
WND262,189180
WND263,189180
WND264,345484
WND265,123833
WND273,262962
WND274,262475
WND276,212677
WND279,183947
WND280,159359
WND282,267628
WQCP885,39617
WND286,130512
WND287,130512
WND288,130512
WND289,1736850
WND291,659048
WND292,650010
WNC562,31738
WLX965,31585
WND295,340576
WND296,2163643
WND297,2168965
WND298,271875
WND299,438755
WND300,512495
WND301,512806
WND301,512806
WND302,438755
WND303,182079
WND304,181817
WND305,181817
WND307,180565
WND308,84251
WND309,316463
WND310,197203
WND311,232033
WND313,1925330
WND320,222130
WND321,209056
WND322,209056
WND323,209193
WND324,222267
WND326,78370
WND327,71242
WND328,55981
WND329,55981
WND330,85157
WND331,75462
WND332,90989
WND334,630983
WND335,513560
WND345,101051
WND347,175335
WND348,175335
WND350,175335
WND351,252737
WND352,86253
WND353,345931
WND354,345931
WND355,452077
WND356,452252
WND357,452252
WND358,436453
WND359,496785
WND360,568463
WND361,582437
WND362,621304
WND363,786732
WND364,582437
WND366,267628
WND367,345484
WND368,57128
WND369,416730
WND370,432289
WND371,280165
WND372,1882294
WND373,1880923
WND374,1019813
WND375,209392
WND376,130512
WND377,136479
WND381,1573890
WND382,1482929
WND383,1391967
WND384,1573879
WND385,1573879
WND392,1519782
WND393,302983
WND394,276784
WND395,295075
WND396,296808
WND397,310695
WND398,145508
WND400,367603
WND401,700849
WND402,154445
WND403,146795
WND404,146795
WND405,57820
WND406,89932
WND407,89932
WND408,108572
WND409,108572
WND410,633875
WND411,251754
WND412,344378
WND413,297457
WND414,857050
WND415,227067
WND416,270345
WND417,270345
WND419,342079
WQCN267,28311
WND426,227626
WND427,227067
WND428,227067
WND429,120448
WND432,239280
WND434,333003
WND448,222206
WND449,513777
WND450,283249
WND454,272621
WND455,1138582
WND458,413553
WND459,409831
WND460,348761
WND461,397129
WND462,413553
WND465,104306
WND466,104306
WND467,104306
WND468,105392
WND469,104306
WND470,203907
WND471,203907
WND473,202644
WND475,1405877
WND476,234153
WND478,1235545
WND483,348761
WLX602,19793
WND487,348761
WLX607,19793
WND492,746082
WND494,1096290
WND496,2390333
WND497,2390333
WND498,2390333
WND499,2390333
WND503,168345
WND507,460532
WND514,1937801
WND515,1937801
WND516,203907
WND517,203907
WND518,1060943
WND519,665777
WND521,127881
WND522,86172
WND524,342855
WND525,342855
WND525,342855
WND526,366555
WND527,342909
WND528,342909
WMX661,18866
WND530,129418
WND535,83724
WND536,60639
WND537,73901
WND539,1343290
WND540,43826
WND543,1399352
WND544,1060437
WND545,1060437
WND546,2054078
WND547,1972428
WND548,266062
WND549,674213
WND550,165801
WND551,118833
WND552,476423
WND554,100075
WND555,940029
WND557,98434
WND557,98434
WND558,98434
WND558,98434
WND559,541965
WND560,233442
WND561,1082245
WND562,630520
WND563,1498021
WND565,632716
WND566,142414
WND568,33160
WMX662,18866
WND570,167645
WND574,1225076
WND575,1522769
WND576,1522769
WND577,1524920
WND578,1225076
WND579,377008
WND579,377008
WND580,535734
WND581,535734
WND582,582844
WND583,200810
WND584,200810
WND585,200810
WND586,200810
WND587,234275
WND588,350628
WND589,350591
WND591,302072
WND592,1096675
WND593,1524920
WND594,1125973
WLX692,18002
WND597,516170
WND598,2214364
WND599,2202918
WND600,1553516
WND601,1595831
WND602,586879
WND603,394406
WND604,382034
WND605,481375
WND606,379255
WND607,377554
WND608,419090
WND609,434146
WND611,306597
WND612,1204462
WND613,1283728
WND616,521598
WND617,520953
WND618,780533
WND619,800672
WND620,1136948
WND622,593353
WND623,445655
WND624,142602
WND626,323511
WND627,26986
WND632,9141330
WND679,864636
WND679,864636
WND680,864636
WND680,864636
WND681,271875
WNTA285,2596754
WLX869,16449
WOW99,1970950
WQAB902,2441423
WQAI668,31330
WQAM573,717772
WQAR738,175335
WQBL500,362142
WQBL503,395186
WQBL504,395186
WQCH847,246604
WQCI578,248577
WQCI587,1914678
WMX714,14694
WQCI659,176630
WQCI690,140365
WQCI715,141708
WQCK957,446225
WQCK961,72534
WQCK987,275376
WQCL437,72534
WQCL444,446225
WQCL447,459206
WQCL455,143134
WQCM439,141708
WQCM973,514812
WMX715,14694
WMX663,10201
WQCN524,207126
WQCN525,562639
WQCN526,143216
WQCN528,635343
WQCN535,164838
WMX664,10201
WQCN570,141708
WLX942,31352
WQCP223,184060
WQCP228,403814
WQCP360,1089177
WQCP374,184060
WQCP378,80826
WQCP507,849265
WQCP827,601561
WQCP828,564346
WQCP829,506803
WQCP830,520726
WQCP884,633875
WNC624,4741
WHB842,15298
WQCP982,483847
WQCQ267,1365937
WQCQ365,43826
WQCQ366,41258
WQCQ367,80826
WQCQ692,213791
WQCQ693,213883
WQCQ694,213883
WQCQ695,213791
WQCQ718,1421238
WQCQ857,35751
WQCQ861,134150
WQCQ937,139075
WQCR282,80826
WQCR294,619213
WQCR554,789796
WHR749,510936
WQCR737,498903
WQCR739,201119
WQCT296,2229291
WQCT674,634551
WQCU376,2489756
WQCU381,267246
WQCV200,745779
WNC974,56366
WQCY880,62501
WQDZ549,25297
WQFG870,129796
WQFY338,2168965
WQGI323,824620
WQGI340,825088
WQGK277,483847
WQGY259,1969814
WQIZ681,1577232
WQJI405,2229291
WQJI817,3852217
WQJZ200,68866
WQOH794,52507
WQOH798,24818
WQST793,68865
WQST798,68865
WQST799,68865
WQST801,68866
WQST802,68865
WQSW538,1208216
WQXK924,88502
WQXL755,38973
WQXM461,41466
WQXM685,12175
WQXM686,17532
WQXM697,46405
WQXN211,48962
WQXS628,119468
WQYR562,203294
WQYR563,203294
WRDL997,180151
WRDM247,2814
WSA39,835203
WSA40,2176908
WSJ70,3647226
